Webpage URL,question,answer
https://www.conestogac.on.ca/employment/applicant-faq,Can I submit my cover letter and resumé separately?,"No, please submit cover letters and resumés as a        single file. Copy and paste your cover letter at the beginning of your resumé and save the combined document as a single file. Acceptable files are .doc, .docx, .pdf, and .zip."
https://www.conestogac.on.ca/employment/applicant-faq,I am having a problem submitting my application. Do you have tips for uploading it?,"If you are a part-time employee, there may be an issue with your password and login. Contact the IT help desk at 519-748-5220, ext. 3444, for assistance.Ensure your file is a .doc, .docx, .pdf, or .zip file.Avoid special characters in the file name (i.e., hyphens, spaces, commas, numbers, etc.).Close the file before you upload it.Save the file to your desktop so you can find it easily for uploading."
https://www.conestogac.on.ca/employment/applicant-faq,Who should I address my cover letter to?,Please address applications to: Hiring Manager.
https://www.conestogac.on.ca/employment/applicant-faq,What should I include in my application?,"Your application may include a cover letter and resumé, submitted in a single file.Your application should include your name, contact information, work experience, educational history, and any other accomplishments, licences, professional designations, awards or skills pertinent to the role.As an academic institution, we collect proof of credentials, such as education and training, certification, licences, memberships, etc., as part of our hiring practices. Please ensure to outline all completed credentials and classify them as           complete or           in progress, and note that copies may be requested in the recruitment process."
https://www.conestogac.on.ca/employment/applicant-faq,Can I make changes to my resumé once submitted?,"No, once you have submitted your resumé, you cannot edit it. Please proofread carefully. If you have submitted your resumé and would like to revise it, please email        hrrecruitment@conestogac.on.ca with your application, the requisition number and the job title."
https://www.conestogac.on.ca/employment/applicant-faq,Can I drop off my resumé in person or email it?,"No, all applications must be submitted online via our        Employment opportunities page."
https://www.conestogac.on.ca/employment/applicant-faq,How will I know if my application has been received?,"Once you have uploaded your resumé and cover letter, you will see a message confirming it has been received successfully, and you will receive a confirmation email."
https://www.conestogac.on.ca/employment/applicant-faq,Can I apply for more than one job at a time?,"Yes, you can apply to multiple roles that suit your interests and qualifications. You will need to submit your application for each position directly.If you are being considered for more than one position at the college, we encourage you to share this with the Talent Acquisition team."
https://www.conestogac.on.ca/employment/applicant-faq,How can I find the status of my application?,"Due to the volume of applications received, only those selected for an interview will be contacted."
https://www.conestogac.on.ca/employment/applicant-faq,Can I withdraw my application after I have submitted it?,"Yes, if you would like to withdraw your application after you have submitted it, please contact        hrrecruitment@conestogac.on.ca."
https://www.conestogac.on.ca/employment/applicant-faq,I have submitted my application for a job posting. Will I automatically be considered for other similar jobs?,"No, your application will only be considered for roles that you apply to. If you are interested in multiple roles, please apply to those roles directly."
https://www.conestogac.on.ca/employment/applicant-faq,What do you mean by “an internal candidate”?,Internal candidates for support staff positions are defined by the Support Staff Collective Agreement (Article 17) as bargaining unit employees.Internal candidates for academic positions are defined by the Academic Collective Agreement (Article 7.1B) as full-time and current partial-load employees or persons who have been partial-load employees within four months prior to the posting.
https://www.conestogac.on.ca/employment/applicant-faq,Do internal employees get first consideration over external employees?,"First consideration for support staff and academic positions will be given to internal applicants in accordance with the respective collective agreements. Candidates considered internal will receive first consideration for full-time support staff, regular part-time support staff and full-time professor positions."
https://www.conestogac.on.ca/employment/applicant-faq,Can I apply for a job if I reside internationally?,"Conestoga employees will be required to conduct work within Ontario and must be available to work on campus, as required. Employees must be legally entitled to work in Canada."
https://www.conestogac.on.ca/employment/applicant-faq,How do I request an accommodation?,"Conestoga offers an inclusive work environment, and we encourage applications from all qualified individuals. If you have an accommodation request, we encourage you to contact our Human Resources team confidentially at        hrrecruitment@conestogac.on.ca."
https://www.conestogac.on.ca/employment/applicant-faq,Will I need to submit proof of credentials?,"As an academic institution, we collect proof of credentials, such as education and training, certification, licences, memberships, etc., as part of our hiring practices. Please ensure to outline all completed credentials and classify them as        complete or        in progress. Copies may be requested during the recruitment process. Please note: Proof of completed academic credentials including official transcripts from accredited Canadian post-secondary institutions and/or international credential assessments for equivalent education are required. Any falsification of statement, misrepresentation, deliberate omission, or concealment of information may disqualify you from employment or may be considered just cause for immediate dismissal."
https://www.conestogac.on.ca/employment/applicant-faq,I have international credentials. Is an Educational Credential Assessment (ECA) required?,"If your credentials were obtained at an institution outside of Canada, you are required to submit an Educational Credential Assessment (ECA) from one of the following designated credential assessment organizations: World Education Services (WES) or International Credential Assessment Service of Canada (ICAS). Your credential assessment must meet the minimum Canadian equivalency required for the position."
https://www.conestogac.on.ca/employment/applicant-faq,I do not meet the minimum qualifications listed on the job posting. Am I able to apply?,"Yes, all are welcome to apply. Support staff and full-time professor positions require that you meet the minimum qualifications for the role."
https://www.conestogac.on.ca/employment/applicant-faq,What qualifications do I need to become a part-time or full-time professor?,"Qualifications may vary for professor positions depending on the program requirements. Many positions indicate that at minimum, a diploma or degree in a relevant field of study is required. Others may specify that a master’s degree or PhD is a requirement for the role."
https://www.conestogac.on.ca/employment/applicant-faq,When will I know if I have been selected for an interview?,"Recruitment timelines vary; there is no standard time for notification. Due to the volume of applications received, only those selected for an interview will be contacted."
https://www.conestogac.on.ca/employment/applicant-faq,I have been invited to an interview. What can I expect?,"The interview process and panel will vary depending on the position. The interview panel may include the Hiring Manager, a Human Resources representative, an individual outside of the hiring department, and a subject matter expert. Candidates may be asked to submit a video recording and/or interview virtually via Zoom/Microsoft Teams or in person. Interview questions are determined in advance, and all applicants are asked the same questions. This format allows us to evaluate all candidates fairly. Interviews are structured, and candidates can expect to answer behavioural and scenario-based questions. You may be asked to submit required documentation, complete an assessment, and/or prepare a brief presentation or teaching simulation."
https://www.conestogac.on.ca/employment/applicant-faq,How can I find out the results of my interview?,All candidates who complete an interview will receive an update on their status once a decision has been made.
https://www.conestogac.on.ca/employment/applicant-faq,At what point in the process will my references be contacted?,References are typically requested after the interview stage. Candidates will be asked to provide email addresses and phone numbers for three business references.
https://www.conestogac.on.ca/employment/applicant-faq,What does a total rewards package look like for a full-time employee at Conestoga?,"Conestoga aims to provide very competitive compensation packages to attract, retain and reward the performance of our employees. In addition to attractive compensation, we provide generous vacation time, comprehensive benefits, a defined benefit pension plan, an Employee and Family Assistance Program (EFAP), opportunities for professional development, and access to various recreational and cultural activities across our vibrant campuses."
https://www.conestogac.on.ca/employment/applicant-faq,Does Conestoga offer an Employee and Family Assistance Program?,"Yes, Conestoga has an Employee & Family Assistance Program with Homewood Health that offers various services to employees and their families at no cost. Services include mental health support, counselling, financial literacy, legal advice, health and wellness and more."
https://www.conestogac.on.ca/employment/applicant-faq,"If I am an employee at Conestoga, am I able to enroll in Conestoga courses at a reduced rate?","Yes, as an academic institution, education is important to us. All full-time and part-time employees at Conestoga can apply to enroll in Continuing Education Conestoga courses for only $20, plus applicable taxes and any additional fees (some conditions apply)."
https://www.conestogac.on.ca/employment/applicant-faq,I am required to have a professional designation for my role. Does Conestoga cover professional membership dues?,"Yes, eligible full-time and regular part-time support staff positions that require a professional designation for their employment conditions may be reimbursed for their membership fees to maintain a certification/licence required to perform their duties."
https://www.conestogac.on.ca/employment/applicant-faq,Will I be reimbursed for my home office equipment if I am hired to work in a hybrid role at Conestoga?,Eligible full-time employees and regular part-time support staff employees may be reimbursed for a one-time home office allowance for eligible equipment up to $300.
https://www.conestogac.on.ca/student-rights/faq,Who do I contact if I have an emergency or safety concern?,"If you feel unsafe or require immediate attention, contact        Safety and Security for support on campus. If you are off campus, contact emergency services by calling 911."
https://www.conestogac.on.ca/student-rights/faq,Where do I find information on mental health and wellness supports?,"Conestoga offers           counselling,           peer support and           medical care to assist students with mental health and wellness.For after-hours mental health support, please contact           Good2Talk - a free 24-hour service for Ontario post-secondary students.If you are in crisis           on campus, contact           Safety and Security for support. If you are in crisis           off campus, contact emergency services by calling 911."
https://www.conestogac.on.ca/student-rights/faq,Where do I find information on sexual and gender-based violence supports?,"If you have experienced or witnessed sexual or gender-based violence and would like to discuss supports available both on and off campus, please contact the        Sexual and Gender-Based Violence Coordinator. They can answer questions regarding        sexual assault and sexual violence policies and procedures, including your reporting options."
https://www.conestogac.on.ca/student-rights/faq,Who can report a student rights and responsibilities violation?,"College students, employees and members of the public may submit reports on behalf of themselves or someone else."
https://www.conestogac.on.ca/student-rights/faq,How and when do I report a student rights and responsibilities violation?,"If a concern continues, escalates, or informal resolution is not appropriate, you may decide to make a report to the SRRO. You can make a verbal report by        contacting us or use the        Report form to report an incident in& writing. We will respond within two business days to arrange a time to discuss the incident and gather more information."
https://www.conestogac.on.ca/student-rights/faq,I have been reported for a student rights and responsibilities violation. What happens next?,"If you have received notice from the SRRO or Safety and Security of a report regarding your conduct, it is important to understand how the process works. Refer to the information on        formal resolution and the        Student Rights and Responsibilities Procedure (pdf).        Contact us with any questions."
https://www.conestogac.on.ca/student-rights/faq,Who do I contact if I have academic concerns?,"Each program area has a Student Success Advisor (SSA) who is available to help you address academic issues and connect you to services. If you are unsure who your SSA is, complete the        self-referral form to ask for help. For details on individual services and other important academic contacts, refer to your program handbook found under the More info tab on your        full-time program page."
https://www.conestogac.on.ca/student-rights/faq,"How do I dispute a grade, academic decision or academic integrity penalty?","Follow the           Academic Dispute Resolution and Appeal Procedure (pdf). Speak with the faculty first about your concern. If your concern is still unresolved, contact the program chair to review the decision and determine the next step.If you need help navigating this process:           contact your program area's Student Success Advisor (SSA). If you are unsure who your SSA is, complete the                 self-referral form to ask for help, orcontact                 Conestoga Students Inc., your official student association, for help with this process and third party advocacy support.Learn how to avoid and understand future academic warnings and offences through the           Academic Integrity website."
https://www.conestogac.on.ca/student-rights/faq,How do I challenge a decision or sanction assessed under the Student Rights and Responsibilities policy?,"The challenge process is outlined on page six of the Student Rights and Responsibilities Procedure (pdf). If you disagree with a decision or sanction assessed under the Student Rights and Responsibilities Policy that does not affect your academic status at the college, email srr@conestogac.on.ca and outline your grounds for appeal. The challenge will be reviewed by the Director of Student Rights and Responsibilities. Appropriate grounds for submitting a challenge are personal bias/unfair treatment or new information/extenuating circumstances.Students must attach all relevant documents to support their request when emailing. If you disagree with a decision or sanction assessed under the Student Rights and Responsibilities Policy that does affect your academic status at the college, submit a formal appeal form as outlined in step four of the Academic Dispute and Appeal Resolution Procedure (pdf). For information on how to submit your appeal, please see Academic appeals."
https://www.conestogac.on.ca/student-rights/faq,Are my conversations with the SRRO confidential?,"It is important to understand that expectations for confidentiality depend on why you are engaging with our office. Concerns If you reach out to our office with a concern, your conversation with the SRRO is confidential unless we have reason to believe that you are at risk of harming yourself or someone else, or if you disclose that another person is at similar risk. Excluding situations of imminent risk or harm, we will not advance your concerns without your permission. Violations If we reach out to you because your conduct was reported to our office, we may disclose status reports, outcomes, and other relevant information to involved parties such as the violation reporter and any impacted areas of the college."
https://www.conestogac.on.ca/student-rights/faq,How does the SRRO protect my privacy and confidentiality?,"All records are filed in a secure electronic database. Managing these records is the responsibility of the SRRO under the direction of the Associate Vice-President, Student Affairs. Access to these records is restricted to appropriate college staff as per the requirements and principles in the Freedom of Information and Protection of Privacy Act (FIPPA).        Exceptions are records under statutes that expressly state that they prevail over FIPPA."
https://www.conestogac.on.ca/student-rights/faq,Can I report concerns anonymously?,"We accept anonymous reports, but anonymity can limit our ability to review or address your concerns. If you do not want to disclose your identity, we will not be able to report back to you about the status or outcome of your concerns. To submit an anonymous report, you can contact us from an unknown phone number or email address without disclosing your name. We will be launching a new reporting system soon which will accept anonymous report submissions directly into our database. If you would like your concerns or identity to remain anonymous after contacting our office, please let us know to discuss options with you."
https://www.conestogac.on.ca/student-rights/faq,Will student rights and responsibilities violations be visible on my permanent academic record?,SRRO decisions and sanctions do not form part of a student's academic record except in cases of long-term suspension or discontinuance from the college.
https://www.conestogac.on.ca/onecard/faq,How do I upload my ONE Card student photo?,"After your deposit is paid, you can upload your ONE Card photo. Complete the steps outlined on        Get your card."
https://www.conestogac.on.ca/onecard/faq,Why do I need to upload a ONE Card student photo to access my timetable?,A student's ONE Card photo completes their student record and confirms that they are a Conestoga College student. Your ONE Card student photo is also required to print and mail your ONE Card to you. Your ONE Card provides you access to a variety of student services. Learn more about how to        use your card.
https://www.conestogac.on.ca/onecard/faq,How do I confirm if I have an approved ONE Card student photo?,"Log into the           ONE Card Portal using your Conestoga credentials.Select the “Display Card” tab from the menu to view your digital ONE Card.If you do not see your photo available, follow the steps to upload your ONE Card student photo on the           Get your card web page."
https://www.conestogac.on.ca/onecard/faq,What happens after I upload my ONE Card student photo and it is approved?,You will receive an email at each step of the ONE Card student photo upload process to keep you informed. Refer to        Get your card to review how you will receive your ONE Card.
https://www.conestogac.on.ca/onecard/faq,Do I need to upload a new student photo every term?,"No. After your ONE Card student photo has been uploaded and approved, this will be your ONE Card student photo for the duration of your studies at Conestoga College. You are not required to update or renew your photo."
https://www.conestogac.on.ca/onecard/faq,Can I change my ONE Card student photo after it has been approved?,"If your ONE Card student photo was uploaded more than 3 years ago, you may be permitted to provide a new photo. Please email the ONE Card office at        onecard@conestogac.on.ca and provide additional information about the reason for your request."
https://www.conestogac.on.ca/onecard/faq,I am a new student. How do I get my ONE Card?,Your ONE Card is available to you in both digital and physical form. Refer to        Get your card to review how you will get your ONE Card.
https://www.conestogac.on.ca/onecard/faq,Why should I put money on my card?,"Condor Cash gives you a safe, fast and convenient way to make purchases at all on-campus and select off-campus merchants. Using Condor Cash allows you to access Condor perks, including specials and discounts."
https://www.conestogac.on.ca/onecard/faq,How do I load money on my card?,"Funds can be added to your ONE Card: online through the           ONE Card portal using debit or credit, orat any Conestoga Bookstore using debit or credit."
https://www.conestogac.on.ca/onecard/faq,What if I have a Visa/Debit card or Master Card/Debit card?,"Use the Interac option on the cash loading portal and if you have difficulty, use the credit card option. The ONE Card office is available to answer questions via phone at 519 748-5220, ext. 3530."
https://www.conestogac.on.ca/onecard/faq,Is CONDOR CASH the same thing as PRINT BALANCE?,"No, Condor Cash and your non-refundable print balance are two different accounts. Condor Cash is used for purchasing on campus. Your non-refundable print balance is used for on-campus printing (excluding CSI Hubs & MT Print). Your ONE Card is used to release print jobs in some locations, however, the print job itself is paid for with your non-refundable print balance. At the beginning of each term, your non-refundable print balance is reset. This balance can only be used to pay for printing. The leftover balance will be reset if it’s not used. Once your non-refundable print balance reaches zero, print charges will begin deducting from your Condor Cash funds. Learn more about        printing and photocopying on campus."
https://www.conestogac.on.ca/onecard/faq,Where can I use Condor Cash?,You can use        Condor Cash at various locations on and off campus.
https://www.conestogac.on.ca/onecard/faq,How do I see the transactions I have made?,Login to the        ONE Card portal to view your transactions.
https://www.conestogac.on.ca/onecard/faq,Can I get a refund of my Condor Cash?,Your Condor Cash never expires. Condor Cash will automatically roll over to the next term. Students are permitted to request a refund of their Condor Cash. Email the ONE Card office at        onecard@conestogac.on.ca to inquire.
https://www.conestogac.on.ca/onecard/faq,Can I use my ONE Card as a transit pass?,"Students registered at the Kitchener - Doon, Kitchener - Downtown, Cambridge - Fountain Street, and Waterloo campuses who purchase a 4-month unlimited GRT Term pass can use their ONE Card as a transit pass. Visit the        Public transit web page for more information."
https://www.conestogac.on.ca/onecard/faq,How do I log in to the ONE Card Portal?,Students can log in with their Conestoga network login and password. Parents/others may deposit money into a student’s account using the student number and student date of birth.
https://www.conestogac.on.ca/onecard/faq,What do I do if I receive an error on the ONE Card Portal?,"Please try the following methods to troubleshoot: Clear your cacheClear your browser historyUse incognito modeUse a desktop/laptopTry Firefox or Internet Explorer If you continue to receive an error message, please take a screen shot of the error you are receiving and email us at        onecard@conestogac.on.ca with your screen shot and information about the challenges you are experiencing."
https://www.conestogac.on.ca/onecard/faq,What do I do if my card is lost or stolen?,"Stolen and lost cards should be suspended immediately. For information about how to suspend your card and request a replacement, refer to        Replace your card."
https://www.conestogac.on.ca/onecard/faq,Does my card expire?,ONE Cards do not have expiry dates. Our cards are intended to follow students to convocation and beyond. We consider you part of the Conestoga community even when an alumni.
https://www.conestogac.on.ca/onecard/faq,Why can’t I put a hole in my card to put it on a lanyard?,"The ONE Card has built-in chip technology and an antennas which allows students to tap and swipe their cards around campus. Putting a hole in the card will cause damage, which may cause the card to malfunction."
https://www.conestogac.on.ca/onecard/faq,Where do I find the terms and conditions of use?,Please see the terms and conditions of use on the        use your card page. You acknowledge these terms when logging in to your student portal each year. You also acknowledge these terms when you upload a photo for your ONE Card and when you make your first deposit into your Condor Cash account.
https://www.conestogac.on.ca/onecard/faq,I have a preferred first name. How do I request my preferred first name is printed on my ONE Card?,"Upon request, an individual's preferred first name can be issued on their physical ONE Card. To request a preferred name change, please submit a Personal Information Change form. This form can be found in the        Student Portal under the 'Services' tab and the 'My Forms' button. Once the request form is processed by the Registrar’s Office, please visit a        ONE Card Office location to request a reprint of your physical ONE Card. There is no charge to reprint your ONE Card for a preferred name change. You will be required to show government issued ID when you visit the ONE Card Office (including if your legal name remains on your government ID). Please bring your old ONE Card with you to receive your reprinted ONE Card if a previous ONE Card was provided to you. At this time, your legal name registered on your Student Record will display on the ONE Card Portal and on your Digital ONE Card (displayed on the ONE Card Portal). We are currently undergoing updates to the Conestoga College system to enable preferred name changes to reflect on the student’s ONE Card Portal and Digital ONE Card."
https://www.conestogac.on.ca/electives/frequently-asked-questions,How do I know if I need to take an elective?,"Refer to your enrolment documents (program design) or your progress report in the        Student Portal. Select the        My Courses tab >        View Progress Report. If you are still unsure, please contact your program coordinator."
https://www.conestogac.on.ca/electives/frequently-asked-questions,I took previous post-secondary courses. Will they count as electives?,Conestoga grants credit transfers to qualifying courses. Visit        credit transfer to learn more about transferring credits.
https://www.conestogac.on.ca/electives/frequently-asked-questions,How do I register for my elective?,To make your course selections: Log in to the           Student Portal with your Student Network Login ID and password.Go to the My Courses tab.Click on Add Course/Choose Elective button (scroll down to view).Select the General Education (diploma) or Interdisciplinary (degree) elective course you wish to register in.View Availability to ensure the course is available and open.Click on ‘Add to Cart.’Find the course in your cart and click 'Checkout and Enroll'.Confirm Address > Click 'Save' on bottom of Contact Information page.Confirm Registration.Verify that you are enrolled in the course > My Courses > Check registration status in course list.Log out or continue to use other portal services. Please contact the        Registrar's Office if you are having issues with the registration process.
https://www.conestogac.on.ca/electives/frequently-asked-questions,I didn't take an elective in a past term but need one to graduate. What do I do?,"You may register for an in-class or online elective to get caught up. General Education electives via Continuing Education If you have missed registering for a General Education elective for this term, but are hoping to take one, you can look through the list of        Continuing Education electives. Courses related to your program area of study are not eligible. If you attempt to add an ineligible course to your cart, you will see a pop-up box listing your program. This means that you will have to select another course. You will be part-time for these courses, and payment is due at the time of registration. For questions about fees, please email        studentfees@conestogac.on.ca."
https://www.conestogac.on.ca/electives/frequently-asked-questions,Can I take my elective in a later term?,"It is highly recommended to take your elective in the term that it is scheduled for within your program design. Each program is designed with specific courses in certain terms to meet the best interest of students. Electives are factored into the course load/hours and fees for the specific term. It is recommended that you consult your program advisor before signing up for an elective at a different time. Taking your elective outside of its designated term may affect your fees, so it is also important to talk to        Student Financial Services whenever making course changes."
https://www.conestogac.on.ca/electives/frequently-asked-questions,Can I switch my elective course or section?,Students can drop and add courses within the course registration period. Please refer to        Academic dates for the deadline for adding a course. Ensure you check your        Student Portal for course availability before dropping your enrolled course.
https://www.conestogac.on.ca/electives/frequently-asked-questions,How do I know if I have enough electives to graduate?,"Check your progress report in the        Student Portal (select the        My Courses tab >        View Progress Report), or consult your program advisor."
https://www.conestogac.on.ca/electives/frequently-asked-questions,Can I take an OntarioLearn General Education Elective?,OntarioLearn General Education electives are diploma level courses available to part-time students. Full-time students who take these electives must also pay the course fees.
https://www.conestogac.on.ca/electives/frequently-asked-questions,Can I take my elective at a different institution?,"Diploma students Yes, you can take an elective course at a different institution. Degree students Before enrolling in a course at another institution, you must submit a Letter of Permission found in the     Student Portal under the 'Services' tab and the 'My Forms' button. Please contact the        Credit Transfer Office for assistance, if required."
https://www.conestogac.on.ca/electives/frequently-asked-questions,I still have questions. Who can I contact?,"Many students have lots of questions about their studies and services at Conestoga College. Fortunately, Student Success Advisors (SSA) can help you get the answers you need. To connect with an SSA, log in to the Student Success Portal and use the        Ask for Help form."
https://www.conestogac.on.ca/convocation/frequently-asked-questions,Do I have to register for convocation?,"Yes. You will receive an email from noreply@tassel.com on or after May 9, 2025 with instructions on how to register."
