question,answer
What is the method to pay fees for DMC?,"Online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR), "
Account number needed for DMC payment?," (Account No: 01287901582203, Title: Student Dues UET, LHR),"
where I have to submit DMC form?," Submit form for DMC in window number 1 of Examinations Branch, 2nd floor, Admin Block, UET, Lahore."
How do I get my DMC right now?,Urgent DMC is not issued.
Will my DMC be given to anyone else?,"Yes, somebody else can receive your DMC by showing fee challan number 2  or ID card copy of student."
"What is the challan number (challan 1 or challan 2) used 
 for DMC?",Attach challan number 1 with DMC. 
Is there any way to get DMC by post?,DMC can be received from examinations branch by hand only.
What is the method to get degree?,"
1)	Attach DMC/degree form, get it signed from students' section
2)	Attach challan of Rs. 1000/- online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR), 
3)	Attach 1 passport size picture
4)	Attach copy of provisional Certificate
5)	Attach matric/O level certificate copy
6)	Attach copy of Thesis notification (for postgraduate students only)
7)	Apply in Examinations Branch window number 1, degree is prepared in 40 days,
Note:-  students of affiliated colleges  need to attach covering letter  issued by their college. 
What documents are required to attach with Degree"
List the documents needed for Degree?,"
1)	Attach DMC/degree form, get it signed from students' section
2)	Attach challan of Rs. 1000/- online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR), 
3)	Attach 1 passport size picture
4)	Attach copy of provisional Certificate
5)	Attach matric/O level certificate copy
6)	Attach copy of Thesis notification (for postgraduate students only)
7)	Apply in Examinations Branch window number 1, degree is prepared in 40 days,
Note:-  students of affiliated colleges  need to attach covering letter  issued by their college. "
How many days required to get my degree,Degree is issued in 40 days
What is degree fee,Fee for degree is Rs. 1000/-.
What is fee to get urgent degree,"Degree is issued in 40 days, urgent degree is not issued."
How can I pay degree fee,"Attach challan of Rs. 1000/- online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR),"
What is account number for paying degree fee,"(Account No: 01287901582203, Title: Student Dues UET, LHR),"
Where I can submit degree fee,Submit degree form in window number 1 of Examinations Branch.
How can I get my degree right now?,"Degree is issued in 40 days, urgent degree is not issued."
Can someone else receive my degree,"It is advised to receive degree by student himself, however, in case student is not available in country, he can authorize his parents/siblings to receive his degree by following procedure below:
1)	write an authority letter on stamp paper of Rs 50/- with registration number, name, father name, signatures and names of student and authorized person to collect degree.
2)	Attested ID card copies of student and authorized person.
3)	Show original ID card of authorized person"
Please tell me way to right authority letter to receive degree,"It is advised to receive degree by student himself, however, in case student is not available in country, he can authorize his parents/siblings to receive his degree by following procedure below:
1)	write an authority letter on stamp paper of Rs 50/- with registration number, name, father name, signatures and names of student and authorized person to collect degree.
2)	Attested ID card copies of student and authorized person.
3)	Show original ID card of authorized person"
Which documents are required to apply for authority letter to receive degree,"1)	Attested ID card copies of student and authorized person.
2)	Show original ID card of authorized person"
Challan one or two is required for degree?,Attach challan number 1 for degree.
Can we get degree by post,"No, degree is issued by hand only."
Which amount stamp paper is required for authority letter,Challan Rs. 50 is used for authority letter for degree.
Can we get duplicate degree,"In case the original degree is lost, duplicate degree can be issued."
Where to apply for duplicate degree,"Apply in Examinations Branch window number 1, duplicate degree is issue within 10 days"
How many days required to get duplicate degree,Duplicate degree is issue within 10 days.
What is right procedure to get duplicate degree,"In case the original degree is lost, duplicate degree can be issued, procedure is given below:
1)	Attach DMC/degree form, get it signed from students' section
2)	Attach challan of Rs. 1000/- online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR), 
3)	Attach 1 passport size picture.
4)	Attach copy of provisional Certificate.
5)	Attach matric/O level certificate copy.
6)	Attach original report of police station for the loss of degree, report must contain your name,  father name and registration number.
7)	Attach stamp paper of Rs. 50 and write on it your name, father name, registration number, and statement  that if original degree is found at any stage you will return original degree to examinations branch of university.
8)	 Attach ad in any reputable newspaper for the loss of your degree, ad must contain your name,  father name and registration number
9)	Attach copy of Thesis notification (for postgraduate students only)
 Apply in Examinations Branch window number 1, duplicate degree is issue within 10 days"
Documents required to get duplicate degree?,"In case the original degree is lost, duplicate degree can be issued, procedure is given below:
1)	Attach DMC/degree form, get it signed from students' section
2)	Attach challan of Rs. 1000/- online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR), 
3)	Attach 1 passport size picture.
4)	Attach copy of provisional Certificate.
5)	Attach matric/O level certificate copy.
6)	Attach original report of police station for the loss of degree, report must contain your name,  father name and registration number.
7)	Attach stamp paper of Rs. 50 and write on it your name, father name, registration number, and statement  that if original degree is found at any stage you will return original degree to examinations branch of university.
8)	 Attach ad in any reputable newspaper for the loss of your degree, ad must contain your name,  father name and registration number
9)	Attach copy of Thesis notification (for postgraduate students only)
 Apply in Examinations Branch window number 1, duplicate degree is issue within 10 days"
What should be on police reportm newspaper ad for duplicate degree,"Attach original report of police station for the loss of degree, report must contain your name,  father name and registration number."
How many days required to get my duplicate degree,Duplicate degree is issue within 10 days.
What is least degree period for Bachelor's program? ,Minimum degree duration for undergraduate program/B.Sc program is 4 years.
What is least degree period for Master's program?,Chart is given on prospectus.
What is least degree period for Ph.D. programs?,Minimum degree duration for Ph.D. program is 3 years.
What  is least degree period duration for MBA programs?,Chart is given on prospectus.
What is highest degree period for Bachelor's program?,Maximum degree duration for under  undergraduate program/B.Sc programs is 6 years.
what is highest degree period for Master's program?,Chart is given on prospectus. 
What is highest degree period for Ph.D. program?,Maximum degree duration for Ph.D. programs is 5 years. 
What is highest degree period for MBA programs?,Chart is given on prospectus. 
Can I earn degree without paying every payables?,No. 
What are the number of days it take to ensure our result?,Your result will be confirmed upon submission of result by your teachers via online and in hard form in Examinations Branch. 
"Still, my result status is provisional, who will confirm it? ",Your result will be confirmed upon submission of result by your teachers via online and in hard form in Examinations Branch.
who will correct those counting mistakes of my GPA?,"In case of any issue regarding computation of GPA/CGPA, contact Examinations Branch 2nd floor Admin Block 04299029235. "
Who will correct those counting mistakes of my credit hours?,"In case of any issue regarding credit hours, contact Examinations Branch 2nd floor Admin Block 04299029235"
what wil be the number of days it take to reach my comprehensive result notification from exams branch to studentss' sections?,It usually takes 3 to 4 days for comprehensive result to reach from Exams branch to students section after completing formalities.
PEC is not notified with my comprehensive result which is a need to register there.,"In case your comprehensive result notification/result gazette  is not received by PEC, then you can email at examination@uet.edu.pk with your registration number or contact 04299029235."
what will be the rule if I got grade lower than my previous one?,"In case a student gets lower grade than previous grade, the latest grade will be counted . "
What is least CGPA requirement to pursue studies at UET?,A student needs to maintain at least 2.000 CGPA to continue studies/to avoid from separation from university. (rules here).
What is least CGPA requirement to pass the Bachelor's degree?,Minimum 2.000 CGPA is required to pass undergraduate/B.Sc degree. 
What is least CGPA requirement to pass the master's degree?,Minimum 2.500 CGPA is required to pass postgraduate/M.Sc./MS/M.Phil. degree. 
What is least CGPA requirement to pass the Ph.D. degree?,Minimum 3.300 CGPA is required to pass Ph.D. degree. 
Is there any negative impact on my CGPA if I'll get a WF grade in some subject? ,WF grade is not counted towards CGPA. 
What will be the impact of W grade on my CGPA? ,W grade is not counted towards CGPA. 
"How an ""I"" Grade can effect my CGPA?",I' grade is not counted towards CGPA. 
What does it mean by IP grade and how it can effect my CGPA? ,IP grade is not counted towards CGPA. 
What is the minimum requirement of attendance in any subject for appearing in the exams?,Minimum 75% attendance is required in a subject to pass.
Will my approved leaves be counted in the attendance? or those will also be considered as absentee?,Approved leave is not counted towards shortage of attendance. 
is there any requirement of attendance for I grade?,Minimum 50% attendance is required for the award of I grade.
Can i improve the only theory part?,Student can improve/repeat only theory or only lab part depending upon his choice
When subject registration will open?,"Subject registration is usually opened on the 1st day of semester start and continues for 2 weeks, students can add/drop courses during this period."
How many maximum credit hours are allowed to take at undergraduate level?,"At undergraduate level, a 1st or 2nd student can register maximum of 18 credit hours, from 3rd year onward, student can register maximum of 21 credit hours on LMS. 
At postgraduate level, student can register maximum of 12 credit hours during a semester."
How many maximum credit hours are allowed to take at graduate level?,"At undergraduate level, a 1st or 2nd student can register maximum of 18 credit hours, from 3rd year onward, student can register maximum of 21 credit hours on LMS. 
At postgraduate level, student can register maximum of 12 credit hours during a semester."
How many maximum credit i can take in regular semester?,"At undergraduate level, a 1st or 2nd student can register maximum of 18 credit hours, from 3rd year onward, student can register maximum of 21 credit hours on LMS. 
At postgraduate level, student can register maximum of 12 credit hours during a semester."
How many maximum credit hours are allowed in summer semester?,Maximum of 8 credit hours can be registered in summer. 
"I have registered a subject, but it is not showing in my registered subjects list on my lms.","In case of any subject registration problem contact your departmental LMS coordinator, if problem is not resolved then contact Examinations Branch, 2nd floor Admin block 04299029235"
"I haven't registered that subject, how is it registered automatically?","In case of any subject registration problem contact your departmental LMS coordinator, if problem is not resolved then contact Examinations Branch, 2nd floor Admin block 04299029235"
"My registered subjects have been removed from LMS due to nonpayment of dues, how can I register again after payment of dues?","In case your subjects have removed due to nonpayment of dues, contact Examinations Branch, 2nd floor Admin block 04299029235"
"If there is timetable clash between two subjects, then how can I register both subjects?",You cannot register two subjects in case of timetable clash.
I have cleared pre-requisite subject; can I register in advanced subject?,"In case a student has passed pre-requisite, then he can register in advanced subject."
What are minimum number of students required to get registered for a subject to offer in summer?,"Minimum 5 students should be registered in a subject in summer to continue, otherwise subject will be withdrawn."
What if minimum number of students do not register in subject in summer?,"Minimum 5 students should be registered in a subject in summer to continue, otherwise subject will be withdrawn."
How to drop a subject?,"Subject registration is usually opened on the 1st day of semester start and continues for 2 weeks, students can add/drop courses during this period."
How i can drop any of the registered subjects ?,"Subject registration is usually opened on the 1st day of semester start and continues for 2 weeks, students can add/drop courses during this period."
How i can get the precentage equilance certificate?,"To apply for percentage equivalence certificate, get DMC form, attach DMC copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare percentage equivalence certificate. 
"
What document are required to get a percentage equivalance certificate?,"To apply for percentage equivalence certificate, get DMC form, attach DMC copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare percentage equivalence certificate. 
"
What is the fee for percentage equivalance certificate?,Fee for percentage certificate is Rs. 500/-
how many days it will take to get the percentage equivalance certificate?,It takes 3 working days to prepare percentage equivalence certificate. 
how to get a reqular bonifade certificate?,"To apply for regular bonafide certificate, get DMC form, attach DMC copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare regular bonafide certificate"
what documents are required for regular bonifade certificate?,"To apply for regular bonafide certificate, get DMC form, attach DMC copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare regular bonafide certificate."
what is the fee for regular bonifade certificate?,Fee for regular bonafide certificate is Rs. 500/-
how many days it will take to get regular bonifade certificate?,It takes 3 working days to prepare regular bonafide certificate. 
how to get embassy bonifade certificate?,"To apply for embassy bonafide certificate, get DMC form, attach DMC and degree copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare embassy bonafide certificate"
what documents are required for embassy bonifade certificate?,"To apply for embassy bonafide certificate, get DMC form, attach DMC and degree copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare embassy bonafide certificate."
what is the fee for embassy bonifade certificate?,Fee for embassy bonafide certificate is Rs. 500/-
how many days it will take to get embassy bonifade certificate?,It takes 3 working days to prepare embassy bonafide certificate. 
How can i get the Lms username and password after readmission ?,"After re-admission, get your new username and password from Examinations Branch 2nd floor Admin block 04299029235 by showing your re-admission letter."
How can i register subjects after readmission?,"After re-admission, register your subjects by login in to LMS, in case of any issue, contact Examinations Branch 2nd floor Admin block 04299029235"
Which grades will be transferred in my new DMC after readmission?,"C grade or above will be transferred in new DMC after re-admission.
"
Can I get second time re-admission?,Second time re-admission is not allowed.
How can i change the discipline?,Contact convener office for discipline change (contact number here)
How can i get extension?,For extension apply to the Convener Admission Committee office by writing a simple application duly signed and forwarded by your HOD.
who can give me entry pass for convocation?,Entry pass can be obtained from concerned department one day before convocation.
Is the degree being given in convocation?,Students can receive degree on convocation day.
"my parents wants to attend the ceremony,can they attend?",Parents of Gold Medalists and Ph.D scholars can attend convocation
please tell me how can i reset my password on LMS,"You can reset your password by visiting lms.uet.edu.pk , click on sign in and then click on reset password. Alternately, you can contact your department LMS coordinator to change/reset your password."
From where i can receive my LMS password,You can contact your department LMS coordinator to change/reset your password.
Am I not able to login my LMS accoun,You can contact your department LMS coordinator to change/reset your password.
what is reason of blocking my LMS account,Contact examinations branch if your LMS account is blocked. 
what is the exact date to notify my thesis,"After receiving thesis from ORIC, the examinations branch usually takes 2 to 3 days to notify thesis, however, the requirement for PhD thesis are different."
what is the option to complete my degree without thesis?,Students can opt design project with 30 credit hours course work if approved by department.
please tell me total credit hours of thesis in MSc/MS/M.phil,30 credit hours are required for the award of MSc/MS/M. Phil degree with other conditions
please tell me total credit hours of thesis in Phd,"60 credit hours are required for PhD degree, 42 credit hours for thesis and 18 credit hours for course work. Duration is minimum 3 years."
Is it compulsory to register thesis on LMS,Department registers thesis on LMS.
what is procudre to get post graduate diploma without thesis,"If you have completed course work but thesis is not cleared, you can apply for Postgraduate diploma in examination branch."
what documents are required for thesis performa,"Normally we attach copy of DMC, copy of proposal and a form with teacher comments about your research work. To get further information about it contact with their department.  "
Is there any extra documents required for degree/DMC for affiliated college students?,Degree/DMC covering letter is extra requirement with other documents for affiliated colleges students.
who is authorized to sign the degree of affiliated college,Controller/Principal/HOD can sign degree completion for affiliated colleges students.
how can i clear my dues from college,Departmental LMS coordinator will clear dues from college. 
how can i get my departmental clearance on LMS from college,Departmental LMS coordinator will make  LMS clearance from college. 
Could you please tell me the way to admin block,"Near HBL, UET Branch also it is near to VS office. "
what is the procedure to use central library?,Library will issue library card then you can use.
"How to get DMC?



","Procedure for incomplete DMC is:-
1)	Apply on DMC form 
2)	Attach challan of Rs. 300 ( Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.)
Procedure for complete/final DMC for UET, Lahore students is:-
Before applying for final/complete DMC for 1st time only, final year students should follow below instructions:(for undergraduate session 2015 & postgraduate session 2016 onwards)

1)	Fill exit survey and all subject surveys.	
2)	Make sure your proper picture is uploaded on LMS, for this purpose, check your profile under student information option in your LMS account. Your picture must be clear and properly visible. In case of any issue regarding picture, visit Admission Cell Admin Block bringing your picture. IB&M students have this facility in their department.
3)	Make sure your online departmental clearance is made by your LMS Coordinator.
4)	Attach following documents:-
       a)	DMC form
       b)	CNIC copy
       c)	Original challan for final DMC fee of Rs. 1000/- (Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.
       d)	Original challan of 1st Installment of Rs. 10,000/-  if payable loan is mentioned on dues clearance slip, (Account No: 41707-4 Title: UET Endowment Fund), only bank deposit slip can be used.
       e)	Degree Requirement Completion Form duly signed and stamped by Chairperson
       f )	One Passport size picture
       g)	Library and Dues clearance copy
       h)	Matric/O level certificate copy (for foreigners attach passport copy + IBCC)
       i)	Thesis notification copy for Postgraduate students only

Note:-    
Online dues clearance for Rachna college, KSK, FSD and NWL will be made by concerned office of their respective campuses.
Above instructions are for 1st time final DMC. To apply for subsequent copies of final DMC, attach DMC form and Challan of Rs. 1000/- only.
Examinations Branch Admin Block, UET, Lahore 042-99029235, 042-99250214 examination@uet.edu.pk"
What is the procedure to apply/get incomplete DMC?,"Procedure for incomplete DMC is:-
1)	Apply on DMC form 
2)	Attach challan of Rs. 300 ( Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.)
Procedure for complete/final DMC for UET, Lahore students is:-
Before applying for final/complete DMC for 1st time only, final year students should follow below instructions:(for undergraduate session 2015 & postgraduate session 2016 onwards)

1)	Fill exit survey and all subject surveys.	
2)	Make sure your proper picture is uploaded on LMS, for this purpose, check your profile under student information option in your LMS account. Your picture must be clear and properly visible. In case of any issue regarding picture, visit Admission Cell Admin Block bringing your picture. IB&M students have this facility in their department.
3)	Make sure your online departmental clearance is made by your LMS Coordinator.
4)	Attach following documents:-
       a)	DMC form
       b)	CNIC copy
       c)	Original challan for final DMC fee of Rs. 1000/- (Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.
       d)	Original challan of 1st Installment of Rs. 10,000/-  if payable loan is mentioned on dues clearance slip, (Account No: 41707-4 Title: UET Endowment Fund), only bank deposit slip can be used.
      e)	Degree Requirement Completion Form duly signed and stamped by Chairperson
      f)	One Passport size picture
     g)	Library and Dues clearance copy
     h)	Matric/O level certificate copy (for foreigners attach passport copy + IBCC)
     i)	Thesis notification copy for Postgraduate students only

Note:-    
Online dues clearance for Rachna college, KSK, FSD and NWL will be made by concerned office of their respective campuses.
Above instructions are for 1st time final DMC. To apply for subsequent copies of final DMC, attach DMC form and Challan of Rs. 1000/- only.
Examinations Branch Admin Block, UET, Lahore 042-99029235, 042-99250214 examination@uet.edu.pk"
What is procedure to apply for DMC/transcript?,"Procedure for incomplete DMC is:-
1)	Apply on DMC form 
2)	Attach challan of Rs. 300 ( Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.)
Procedure for complete/final DMC for UET, Lahore students is:-
Before applying for final/complete DMC for 1st time only, final year students should follow below instructions:(for undergraduate session 2015 & postgraduate session 2016 onwards)

1)	Fill exit survey and all subject surveys.	
2)	Make sure your proper picture is uploaded on LMS, for this purpose, check your profile under student information option in your LMS account. Your picture must be clear and properly visible. In case of any issue regarding picture, visit Admission Cell Admin Block bringing your picture. IB&M students have this facility in their department.
3)	Make sure your online departmental clearance is made by your LMS Coordinator.
4)	Attach following documents:-
       a)	DMC form
       b)	CNIC copy
       c)	Original challan for final DMC fee of Rs. 1000/- (Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.
       d)	Original challan of 1st Installment of Rs. 10,000/-  if payable loan is mentioned on dues clearance slip, (Account No: 41707-4 Title: UET Endowment Fund), only bank deposit slip can be used.
      e)	Degree Requirement Completion Form duly signed and stamped by Chairperson
      f)	One Passport size picture
     g)	Library and Dues clearance copy
     h)	Matric/O level certificate copy (for foreigners attach passport copy + IBCC)
     i)	Thesis notification copy for Postgraduate students only

Note:-    
Online dues clearance for Rachna college, KSK, FSD and NWL will be made by concerned office of their respective campuses.
Above instructions are for 1st time final DMC. To apply for subsequent copies of final DMC, attach DMC form and Challan of Rs. 1000/- only.
Examinations Branch Admin Block, UET, Lahore 042-99029235, 042-99250214 examination@uet.edu.pk"
What documents are required to attach with/apply for DMC?,"Attach following documents:-
a)	DMC form
b)	CNIC copy
c)	Original challan for final DMC fee of Rs. 1000/- (Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.
d)	Original challan of 1st Installment of Rs. 10,000/-  if payable loan is mentioned on dues clearance slip, (Account No: 41707-4 Title: UET Endowment Fund), only bank deposit slip can be used.
e)	Degree Requirement Completion Form duly signed and stamped by Chairperson
f)	One Passport size picture
g)	Library and Dues clearance copy
h)	Matric/O level certificate copy (for foreigners attach passport copy + IBCC)
i)	Thesis notification copy for Postgraduate students only"
How students of affiliated colleges with UET can apply for final or incomplete DMC?,"Procedure for complete/final DMC for  students of affiliated colleges with UET, Lahore is:-
Before applying for final/complete DMC for 1st time only, final year students of affiliated colleges with UET, Lahore should follow below instructions:(for undergraduate session 2015)

1)	Fill exit survey and all subject surveys.	
2)	Make sure your proper picture is uploaded on LMS, for this purpose, check your profile under student information option in your LMS account. Your picture must be clear and properly visible. In case of any issue regarding picture, visit your college office bringing your picture.  
3)	Make sure your online departmental clearance is made by your LMS Coordinator. Online  dues clearance on LMS must also be made by your college concerned office.
4)	Attach following documents:-
a)	DMC form.
b)	CNIC copy.
c)	Original challan for final DMC fee of Rs. 1000/-  (Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.
d)	Degree Requirement Completion Form duly signed and stamped by Principal/HOD/Controller.
e)	One Passport size picture.
f)	Covering letter for DMC from concerned college.
g)	Matric/O level certificate copy. 
Note:- 
Above instructions are for 1st time final DMC. To apply for subsequent copies of final DMC, attach DMC form and Challan of Rs. 1000/- only.
042-99029235, 042-99250214  Examinations Branch UET, Lahore   
examination@uet.edu.pk"
In how many days I can get my DMC?,Ans: Official timing to get DMC is 3 working days
What is fee for final DMC?, Fee for final DMC is Rs 1000/-
